,YEAR,MONTH,DAY,SLP,SAT,SST,U,V,Dates
0,1981.0,1.0,1.0,,,,,0.0014183317317925988,1981-01-01
1,1981.0,1.0,2.0,,,,,0.0039199322664923136,1981-01-02
2,1981.0,1.0,3.0,,,,,0.008200378335359925,1981-01-03
3,1981.0,1.0,4.0,,,,,-0.002210999751383687,1981-01-04
4,1981.0,1.0,5.0,,,,,-0.005536212058482035,1981-01-05
5,1981.0,1.0,6.0,,,,,-0.004413440861927756,1981-01-06
6,1981.0,1.0,7.0,,,,,0.00035074180918611585,1981-01-07
7,1981.0,1.0,8.0,,,,,0.0019344843064128094,1981-01-08
8,1981.0,1.0,9.0,,,,,-0.0007974705323295077,1981-01-09
9,1981.0,1.0,10.0,,,,,0.00029546002345071635,1981-01-10
10,1981.0,1.0,11.0,,,,,0.0006540830959343549,1981-01-11
11,1981.0,1.0,12.0,,,,,0.0005788847178116161,1981-01-12
12,1981.0,1.0,13.0,,,,,-0.000978153803277793,1981-01-13
13,1981.0,1.0,14.0,,,,,-0.0009710515318180916,1981-01-14
14,1981.0,1.0,15.0,,,,,0.006909397614441915,1981-01-15
15,1981.0,1.0,16.0,,,,,0.007389374186264471,1981-01-16
16,1981.0,1.0,17.0,,,,,0.011028974060993927,1981-01-17
17,1981.0,1.0,18.0,,,,,0.005774434280414239,1981-01-18
18,1981.0,1.0,19.0,,,,,0.012379172840311795,1981-01-19
19,1981.0,1.0,20.0,,,,,0.0099316789479909,1981-01-20
20,1981.0,1.0,21.0,,,,,0.010359238973597022,1981-01-21
21,1981.0,1.0,22.0,,,,,0.01617490283939864,1981-01-22
22,1981.0,1.0,23.0,,,,,0.00309211639418645,1981-01-23
23,1981.0,1.0,24.0,,,,,-0.008925673048107518,1981-01-24
24,1981.0,1.0,25.0,,,,,-0.008013650969609865,1981-01-25
25,1981.0,1.0,26.0,,,,,0.006581680032974338,1981-01-26
26,1981.0,1.0,27.0,,,,,0.016430232860374025,1981-01-27
27,1981.0,1.0,28.0,,,,,0.005385788405509333,1981-01-28
28,1981.0,1.0,29.0,,,,,-0.001641507391267942,1981-01-29
29,1981.0,1.0,30.0,,,,,-0.010182774415625923,1981-01-30
30,1981.0,1.0,31.0,,,,,-0.005799406379508456,1981-01-31
31,1981.0,2.0,1.0,,,,,-0.004742193943176714,1981-02-01
32,1981.0,2.0,2.0,,,,,-0.004279746054015982,1981-02-02
33,1981.0,2.0,3.0,,,,,-0.006545305906931135,1981-02-03
34,1981.0,2.0,4.0,,,,,-0.0051114947154538536,1981-02-04
35,1981.0,2.0,5.0,,,,,-0.003374644095516536,1981-02-05
36,1981.0,2.0,6.0,,,,,-0.005045486086270472,1981-02-06
37,1981.0,2.0,7.0,,,,,-0.001384008233567886,1981-02-07
38,1981.0,2.0,8.0,,,,,0.002854913655846229,1981-02-08
39,1981.0,2.0,9.0,,,,,-0.0003242022142795827,1981-02-09
40,1981.0,2.0,10.0,,,,,0.0011629169645304275,1981-02-10
41,1981.0,2.0,11.0,,,,,0.004924487064789823,1981-02-11
42,1981.0,2.0,12.0,,,,,-0.0005821558857054392,1981-02-12
43,1981.0,2.0,13.0,,,,,0.00371017214797757,1981-02-13
44,1981.0,2.0,14.0,,,,,0.003252620208027069,1981-02-14
45,1981.0,2.0,15.0,,,,,-0.006891608418193014,1981-02-15
46,1981.0,2.0,16.0,,,,,-0.005450736861839238,1981-02-16
47,1981.0,2.0,17.0,,,,,-0.005336147185329973,1981-02-17
48,1981.0,2.0,18.0,,,,,-0.0062085318441817755,1981-02-18
49,1981.0,2.0,19.0,,,,,-0.002931035129747911,1981-02-19
50,1981.0,2.0,20.0,,,,,-0.017204552600321308,1981-02-20
51,1981.0,2.0,21.0,,,,,-0.003517117812503721,1981-02-21
52,1981.0,2.0,22.0,,,,,0.0006949962558729754,1981-02-22
53,1981.0,2.0,23.0,,,,,0.004265801671509197,1981-02-23
54,1981.0,2.0,24.0,,,,,-0.0005065326404417663,1981-02-24
55,1981.0,2.0,25.0,,,,,0.0018082132032392626,1981-02-25
56,1981.0,2.0,26.0,,,,,0.004757755659679879,1981-02-26
57,1981.0,2.0,27.0,,,,,0.006823554515004457,1981-02-27
58,1981.0,2.0,28.0,,,,,0.01031065247823286,1981-02-28
59,1981.0,3.0,1.0,,,,,0.0019947469602920416,1981-03-01
60,1981.0,3.0,2.0,,,,,0.0008335639209817713,1981-03-02
61,1981.0,3.0,3.0,,,,,-0.006867200945154329,1981-03-03
62,1981.0,3.0,4.0,,,,,-0.0039197449449224426,1981-03-04
63,1981.0,3.0,5.0,,,,,-0.01642577175786009,1981-03-05
64,1981.0,3.0,6.0,,,,,-0.00847888599493023,1981-03-06
65,1981.0,3.0,7.0,,,,,0.002966803868586224,1981-03-07
66,1981.0,3.0,8.0,,,,,-0.0013182061574056516,1981-03-08
67,1981.0,3.0,9.0,,,,,-0.003733077522524207,1981-03-09
68,1981.0,3.0,10.0,,,,,-0.010995886313219872,1981-03-10
69,1981.0,3.0,11.0,,,,,-0.0045806633991437706,1981-03-11
70,1981.0,3.0,12.0,,,,,-0.0009952679508095992,1981-03-12
71,1981.0,3.0,13.0,,,,,-0.012729000866518944,1981-03-13
72,1981.0,3.0,14.0,,,,,-0.006811124182580364,1981-03-14
73,1981.0,3.0,15.0,,,,,0.00888381935817243,1981-03-15
74,1981.0,3.0,16.0,,,,,-0.005089987005515717,1981-03-16
75,1981.0,3.0,17.0,,,,,-0.0031961912017800225,1981-03-17
76,1981.0,3.0,18.0,,,,,0.0072691858001451655,1981-03-18
77,1981.0,3.0,19.0,,,,,0.0028322157439276065,1981-03-19
78,1981.0,3.0,20.0,,,,,0.008245279228265883,1981-03-20
79,1981.0,3.0,21.0,,,,,0.010064029969665857,1981-03-21
80,1981.0,3.0,22.0,,,,,0.001329333526336658,1981-03-22
81,1981.0,3.0,23.0,,,,,-0.002800865113961994,1981-03-23
82,1981.0,3.0,24.0,,,,,0.00047901022459543165,1981-03-24
83,1981.0,3.0,25.0,,,,,0.004448545732507799,1981-03-25
84,1981.0,3.0,26.0,,,,,-0.009016339424823432,1981-03-26
85,1981.0,3.0,27.0,,,,,-0.01937600207061481,1981-03-27
86,1981.0,3.0,28.0,,,,,-0.011734101386898996,1981-03-28
87,1981.0,3.0,29.0,,,,,-0.008488729190164673,1981-03-29
88,1981.0,3.0,30.0,,,,,-0.010306432719927686,1981-03-30
89,1981.0,3.0,31.0,,,,,-0.007826107844137467,1981-03-31
90,1981.0,4.0,1.0,1018.7,10.1,11.740000000000002,0.0009241945480025057,-0.005551506350580668,1981-04-01
91,1981.0,4.0,2.0,1015.3458333333333,10.3375,11.183333333333332,-0.002956105711493256,-0.014290414977182347,1981-04-02
92,1981.0,4.0,3.0,1018.375,10.729166666666666,10.45,-0.0009941189571022332,-0.014867814174736043,1981-04-03
93,1981.0,4.0,4.0,1024.825,10.4625,10.075,-0.0018459120460643445,-0.011730900312301154,1981-04-04
94,1981.0,4.0,5.0,1026.2625,11.083333333333336,10.0125,-0.0006235439823040513,-0.012106287274662923,1981-04-05
95,1981.0,4.0,6.0,1019.5416666666664,10.195833333333333,9.629166666666668,-0.002864028152593604,-0.02046626539312305,1981-04-06
96,1981.0,4.0,7.0,1016.2125,9.558333333333334,8.783333333333333,-0.002508760450869736,-0.020532590374733463,1981-04-07
97,1981.0,4.0,8.0,1018.7,9.7375,8.658333333333333,8.562440577891161e-06,-0.011456595324776064,1981-04-08
98,1981.0,4.0,9.0,1020.2541666666666,10.016666666666667,8.870833333333335,-0.0008554884766321036,-0.0073615468667186205,1981-04-09
99,1981.0,4.0,10.0,1016.3583333333336,9.629166666666668,9.554166666666667,-0.00119349393905885,-0.01624642508796173,1981-04-10
100,1981.0,4.0,11.0,1019.1583333333333,9.529166666666667,9.141666666666667,-0.00017319354603107908,-0.003330170751361394,1981-04-11
101,1981.0,4.0,12.0,1022.2083333333336,10.291666666666666,10.308333333333332,-0.0008058144440436232,-0.004284744939281861,1981-04-12
102,1981.0,4.0,13.0,1019.6833333333334,10.241666666666667,9.416666666666666,-0.0006555701810158269,-0.009639789785855652,1981-04-13
103,1981.0,4.0,14.0,1018.7625,10.116666666666664,10.4375,0.00016224578008523248,-0.0053149588481004725,1981-04-14
104,1981.0,4.0,15.0,1019.9,9.904166666666667,11.008333333333333,-0.0011129853616371592,-0.00016733902795671468,1981-04-15
105,1981.0,4.0,16.0,1022.0045454545456,10.759090909090908,10.813636363636363,-0.0009469609125392199,-0.0015311213716398214,1981-04-16
106,1981.0,4.0,17.0,1018.0875,11.2125,10.541666666666666,-0.00010116833224141003,-0.006580502574908456,1981-04-17
107,1981.0,4.0,18.0,1011.0416666666664,10.800000000000002,9.8125,0.00032272031317798607,-0.011886269607623135,1981-04-18
108,1981.0,4.0,19.0,1014.1,10.354166666666666,9.454166666666667,0.002211575623502341,-0.009299580587419141,1981-04-19
109,1981.0,4.0,20.0,1021.9916666666667,10.254166666666666,9.241666666666667,-0.0005069042681385941,-0.00577745247631303,1981-04-20
110,1981.0,4.0,21.0,1021.3833333333333,10.800000000000002,9.083333333333334,-0.00029296639107084723,-0.010384953725991831,1981-04-21
111,1981.0,4.0,22.0,1017.7173913043476,11.030434782608696,9.178260869565216,-0.0007451494837454679,-0.010171075002205288,1981-04-22
112,1981.0,4.0,23.0,1015.5208333333336,10.6375,9.379166666666668,-0.0009753200344305724,-0.006226255145174855,1981-04-23
113,1981.0,4.0,24.0,1017.2956521739133,10.843478260869567,10.508695652173913,-0.0001809137007218864,-0.003661212742083513,1981-04-24
114,1981.0,4.0,25.0,1014.2782608695653,10.513043478260867,10.039130434782608,0.0001138785805012309,-0.008557932295894011,1981-04-25
115,1981.0,4.0,26.0,1017.2708333333336,10.283333333333333,10.8625,0.00033527064819436925,-0.00888095642092198,1981-04-26
