,Month,UI-39N
1946,1,6
1946,2,-10
1946,3,45
1946,4,36
1946,5,85
1946,6,111
1946,7,140
1946,8,155
1946,9,35
1946,10,59
1946,11,5
1946,12,-5
1947,1,14
1947,2,-3
1947,3,2
1947,4,60
1947,5,68
1947,6,122
1947,7,83
1947,8,169
1947,9,81
1947,10,9
1947,11,44
1947,12,1
1948,1,-4
1948,2,49
1948,3,28
1948,4,7
1948,5,47
1948,6,108
1948,7,148
1948,8,117
1948,9,54
1948,10,12
1948,11,7
1948,12,7
1949,1,40
1949,2,22
1949,3,-4
1949,4,44
1949,5,67
1949,6,165
1949,7,160
1949,8,74
1949,9,41
1949,10,65
1949,11,-35
1949,12,11
1950,1,24
1950,2,-7
1950,3,12
1950,4,72
1950,5,210
1950,6,121
1950,7,205
1950,8,90
1950,9,48
1950,10,-6
1950,11,-0
1950,12,-58
1951,1,7
1951,2,2
1951,3,90
1951,4,66
1951,5,87
1951,6,170
1951,7,203
1951,8,179
1951,9,33
1951,10,12
1951,11,-18
1951,12,4
1952,1,-3
1952,2,2
1952,3,104
1952,4,45
1952,5,100
1952,6,137
1952,7,144
1952,8,126
1952,9,52
1952,10,-0
1952,11,-0
1952,12,-45
1953,1,-39
1953,2,65
1953,3,40
1953,4,42
1953,5,74
1953,6,189
1953,7,174
1953,8,53
1953,9,33
1953,10,20
1953,11,-23
1953,12,8
1954,1,-5
1954,2,-8
1954,3,11
1954,4,35
1954,5,123
1954,6,124
1954,7,145
1954,8,95
1954,9,57
1954,10,1
1954,11,-27
1954,12,-29
1955,1,3
1955,2,26
1955,3,65
1955,4,73
1955,5,284
1955,6,209
1955,7,242
1955,8,254
1955,9,133
1955,10,32
1955,11,14
1955,12,-44
1956,1,-62
1956,2,20
1956,3,38
1956,4,107
1956,5,106
1956,6,203
1956,7,204
1956,8,158
1956,9,26
1956,10,45
1956,11,2
1956,12,1
1957,1,1
1957,2,-10
1957,3,16
1957,4,77
1957,5,35
1957,6,166
1957,7,217
1957,8,167
1957,9,12
1957,10,8
1957,11,2
1957,12,-19
1958,1,-113
1958,2,-150
1958,3,10
1958,4,50
1958,5,47
1958,6,90
1958,7,149
1958,8,143
1958,9,78
1958,10,9
1958,11,11
1958,12,-15
1959,1,-4
1959,2,10
1959,3,83
1959,4,123
1959,5,162
1959,6,206
1959,7,257
1959,8,210
1959,9,87
1959,10,63
1959,11,7
1959,12,1
1960,1,-20
1960,2,18
1960,3,24
1960,4,28
1960,5,48
1960,6,167
1960,7,99
1960,8,130
1960,9,72
1960,10,12
1960,11,-1
1960,12,-32
1961,1,-87
1961,2,13
1961,3,26
1961,4,54
1961,5,75
1961,6,102
1961,7,110
1961,8,66
1961,9,83
1961,10,43
1961,11,-4
1961,12,14
1962,1,7
1962,2,-19
1962,3,10
1962,4,51
1962,5,103
1962,6,158
1962,7,186
1962,8,75
1962,9,71
1962,10,5
1962,11,6
1962,12,-30
1963,1,11
1963,2,-44
1963,3,9
1963,4,14
1963,5,81
1963,6,254
1963,7,155
1963,8,160
1963,9,3
1963,10,2
1963,11,-4
1963,12,-11
1964,1,9
1964,2,106
1964,3,93
1964,4,271
1964,5,140
1964,6,149
1964,7,225
1964,8,197
1964,9,194
1964,10,7
1964,11,-5
1964,12,-11
1965,1,-10
1965,2,36
1965,3,34
1965,4,45
1965,5,300
1965,6,230
1965,7,162
1965,8,102
1965,9,78
1965,10,9
1965,11,-52
1965,12,3
1966,1,-1
1966,2,3
1966,3,11
1966,4,126
1966,5,193
1966,6,192
1966,7,186
1966,8,203
1966,9,38
1966,10,52
1966,11,-12
1966,12,-7
1967,1,-7
1967,2,40
1967,3,18
1967,4,45
1967,5,199
1967,6,209
1967,7,260
1967,8,174
1967,9,68
1967,10,18
1967,11,0
1967,12,6
1968,1,-10
1968,2,-60
1968,3,2
1968,4,225
1968,5,111
1968,6,240
1968,7,222
1968,8,62
1968,9,76
1968,10,22
1968,11,-7
1968,12,-39
1969,1,-8
1969,2,-47
1969,3,16
1969,4,42
1969,5,112
1969,6,145
1969,7,340
1969,8,357
1969,9,118
1969,10,9
1969,11,2
1969,12,-48
1970,1,-141
1970,2,-40
1970,3,57
1970,4,219
1970,5,188
1970,6,150
1970,7,214
1970,8,219
1970,9,137
1970,10,13
1970,11,-28
1970,12,-16
1971,1,14
1971,2,50
1971,3,8
1971,4,76
1971,5,182
1971,6,169
1971,7,169
1971,8,85
1971,9,63
1971,10,73
1971,11,8
1971,12,9
1972,1,3
1972,2,-19
1972,3,22
1972,4,90
1972,5,184
1972,6,254
1972,7,191
1972,8,162
1972,9,81
1972,10,41
1972,11,-2
1972,12,-2
1973,1,-49
1973,2,-53
1973,3,101
1973,4,253
1973,5,252
1973,6,325
1973,7,324
1973,8,319
1973,9,86
1973,10,53
1973,11,-7
1973,12,-35
1974,1,1
1974,2,9
1974,3,2
1974,4,105
1974,5,356
1974,6,297
1974,7,182
1974,8,250
1974,9,104
1974,10,114
1974,11,2
1974,12,5
1975,1,20
1975,2,-20
1975,3,21
1975,4,150
1975,5,254
1975,6,355
1975,7,230
1975,8,247
1975,9,165
1975,10,24
1975,11,19
1975,12,5
1976,1,9
1976,2,9
1976,3,101
1976,4,59
1976,5,331
1976,6,304
1976,7,249
1976,8,111
1976,9,134
1976,10,79
1976,11,2
1976,12,3
1977,1,0
1977,2,5
1977,3,140
1977,4,121
1977,5,97
1977,6,372
1977,7,365
1977,8,193
1977,9,93
1977,10,79
1977,11,14
1977,12,-49
1978,1,-112
1978,2,-14
1978,3,2
1978,4,35
1978,5,289
1978,6,233
1978,7,364
1978,8,245
1978,9,119
1978,10,137
1978,11,54
1978,12,28
1979,1,-2
1979,2,-6
1979,3,14
1979,4,36
1979,5,243
1979,6,309
1979,7,170
1979,8,141
1979,9,88
1979,10,7
1979,11,-17
1979,12,-37
1980,1,-1
1980,2,-77
1980,3,91
1980,4,62
1980,5,264
1980,6,195
1980,7,233
1980,8,338
1980,9,116
1980,10,37
1980,11,7
1980,12,-22
1981,1,-90
1981,2,-3
1981,3,24
1981,4,191
1981,5,250
1981,6,318
1981,7,346
1981,8,216
1981,9,107
1981,10,22
1981,11,-17
1981,12,-42
1982,1,8
1982,2,-1
1982,3,0
1982,4,14
1982,5,329
1982,6,114
1982,7,189
1982,8,123
1982,9,144
1982,10,5
1982,11,-8
1982,12,-19
1983,1,-88
1983,2,-142
1983,3,-78
1983,4,19
1983,5,128
1983,6,247
1983,7,217
1983,8,103
1983,9,143
1983,10,23
1983,11,-29
1983,12,-16
1984,1,17
1984,2,-2
1984,3,31
1984,4,111
1984,5,156
1984,6,325
1984,7,275
1984,8,182
1984,9,183
1984,10,37
1984,11,-32
1984,12,2
1985,1,-0
1985,2,86
1985,3,44
1985,4,107
1985,5,120
1985,6,186
1985,7,147
1985,8,139
1985,9,75
1985,10,69
1985,11,22
1985,12,-11
1986,1,-124
1986,2,-37
1986,3,3
1986,4,137
1986,5,109
1986,6,120
1986,7,250
1986,8,158
1986,9,58
1986,10,19
1986,11,40
1986,12,-22
1987,1,-15
1987,2,2
1987,3,-2
1987,4,82
1987,5,168
1987,6,175
1987,7,167
1987,8,181
1987,9,127
1987,10,27
1987,11,0
1987,12,-11
1988,1,-22
1988,2,43
1988,3,111
1988,4,23
1988,5,82
1988,6,175
1988,7,263
1988,8,182
1988,9,144
1988,10,40
1988,11,1
1988,12,13
1989,1,36
1989,2,10
1989,3,-22
1989,4,30
1989,5,178
1989,6,133
1989,7,319
1989,8,232
1989,9,56
1989,10,43
1989,11,49
1989,12,6
1990,1,12
1990,2,18
1990,3,34
1990,4,82
1990,5,87
1990,6,135
1990,7,106
1990,8,62
1990,9,61
1990,10,74
1990,11,39
1990,12,30
1991,1,-2
1991,2,-5
1991,3,27
1991,4,105
1991,5,239
1991,6,266
1991,7,201
1991,8,74
1991,9,79
1991,10,52
1991,11,27
1991,12,-3
1992,1,-24
1992,2,-70
1992,3,2
1992,4,18
1992,5,180
1992,6,128
1992,7,148
